reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
4bb40d9f-6391-41f8-81cb-7198ec17307e,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,jaringan nya suka nge lag parah!!!,1,0,,2026-04-17 04:22:23,Mohon maaf Ibu Riri. Silahkan lakukan restart device lalu dicoba kembali. Apabila masih terkendala silakan hubungi kami melalui IM3 Official WhatsApp di 08551000185. Terima kasih.^Valy,2026-04-17 04:40:00,
15925501-4cba-4118-a4fd-da9d49dd6ce2,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,INTERNET NYA JELEK NGELAG BGT. PDHL KUOTA SAYA MASIH 17.1GB TAPI NGELAG NYA MINTA AMPUN. GA IKHLAS,1,0,82.13.1,2026-04-17 04:00:42,"Hai Bapak Rafan, mohon maaf atas kendala yang Anda alami. Silakan informasikan nomor dan lokasi detail melalui IM3 Official WhatsApp di 08551000185 agar dapat kami bantu secepatnya. Terima kasih.^Valy",2026-04-17 04:41:34,82.13.1
4785018f-9f7b-434b-bdfd-83e398f6931f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"tolo perbaiki fitur pembatalan langganan, langganan gemini saya selalu tidak bisa di batalkan saat di klik unsubs malah ngebug appsnya, upaya umum seperti restart mobile data, hapus cache, tutup aplikasi dan buka kembali tetap saja, mungkin dari sisi pengembang boleh di perbaiki. terimakasih",4,0,82.13.1,2026-04-16 23:41:21,,,82.13.1
5ae48566-9bc4-44f8-a3d8-a6b097c71863,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"eSim udah milih ama regis nomor sesuai yg diinginkan, dapetnya nomor ampas scam anjir",1,0,,2026-04-16 17:32:10,"Hai Bapak Bayu, mohon maaf sebelumnya. Untuk bisa membantu Anda, mohon infokan detil keluhannya melalui IM3 Official WhatsApp di 08551000185. Kami tunggu ya. Terima Kasih ^Valy",2026-04-17 03:30:45,
e23b92ab-fe60-4991-8211-216e458df26f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Provider apasih ini?, sumpah udah mahal, ngelag, solusi dari CS nya cuman matikan daya atau ga di mode pesawat dulu. Masak tiap kali lag harus mode pesawat/matikan daya???, lag nya ga sedetik dua detik. Hampir 1-3 menit sinyal lu kaga bisa, sekecil kirim pesan WA aja harus JAMKOT. Sangking parahnya nih Im3 sumpah, benerin dulu sinyal+speed nya, jangan solusi dari CS nya nyuruh matikan daya atau mode pesawat aja. Ga bantu saran sama sekali dari CS lu",1,0,,2026-04-16 16:54:53,"Hai Pelanggan IM3, mohon maaf atas kendalanya. Apabila sebelumnya sudah melakukan restart HP atau on/off mode pesawat namun masih terkendala, silakan infokan kendala lengkapnya melalui IM3 Official WhatsApp di 08551000185. Terima kasih.^Valy",2026-04-17 03:19:30,
38d75062-0ab0-409c-bd02-b96bd0c18d01,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"pake im3 dr tahun 2006. Kecewa banget sama aplikasi my im3 nya. aplikasi yg harusnya fokus kasi informasi data dan kartu pelanggan, tp dibuat fokus untuk marketing produk2 (jualan). pop up dan iklan yang mengganggu di aplikasi benar2 jauh dari kata simple dan profesional. entah siapa yang punya ide bikin aplikasi ini. terlihat jelas dari nama dan nomor pelanggan uang dibuat kecil banget tp iklan menuhin layar",1,0,82.13.1,2026-04-16 14:53:54,"Terima kasih atas masukannya, dan mohon maaf atas ketidaknyamanannya Bapak Bagus. Bantuan lebih lanjut bisa didapatkan dengan menghubungi IM3 Official WhatsApp di 08551000185. Terima kasih.^Valy",2026-04-17 02:35:45,82.13.1
305267bd-9b3f-4c8c-aad2-a3ff406f8abb,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good services,5,0,82.13.1,2026-04-16 14:01:51,,,82.13.1
d50e1180-5e12-4250-b2c0-02f4059c7c92,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,good,5,0,82.13.1,2026-04-16 06:26:56,,,82.13.1
e47a2b19-4c44-451c-9f6c-d55c2ba00c8b,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Giving one star review is too kind. I've bought platinum package but still got spammed by the telemarketers. If there's any providers that could offer me similar reliability but with no telemarketer spam, I'd consider to ditch this 15+ years old Indosat number.",1,0,82.13.1,2026-04-16 03:44:16,"Good evening, Mr. Bagas. We apologize for your experience. Kindly provide your number and detailed information via the official IM3 WhatsApp at 0855-1000-185 so we can assist you with checking it as soon as possible. Thank you. 💛 ^Nila",2026-04-16 11:41:15,82.13.1
5df08be1-ded4-4d44-a1b1-56a550f22c71,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Good,5,0,82.13.1,2026-04-16 02:21:20,,,82.13.1
